# Source: EPA Power Profiler crosswalk (USEPA/power-profiler GitHub, eGRID2023).
# (zip, wires utility) grain — feeds zip_supplier_candidates for non-CCA rows.
zip,state,eiaid,utility_name,subregion,predominant
01116,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01118,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01119,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01128,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01129,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01138,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01139,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01144,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01151,MA,3477,City of Chicopee - (MA),NEWE,TRUE
01151,MA,11804,Massachusetts Electric Co,NEWE,FALSE
01152,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01199,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01201,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01202,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01203,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01220,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01222,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01223,MA,3447,Town of Chester,NEWE,TRUE
01223,MA,20455,Western Massachusetts Electric Company,NEWE,FALSE
01224,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01225,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01226,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01227,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01229,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01230,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01235,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01236,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01237,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01238,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01240,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01242,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
